City;Unemployment rate
Achères-la-Forêt (77001);7,4
Amillis (77002);7,7
Amponville (77003);5,2
Andrezel (77004);4,8
Annet-sur-Marne (77005);7,6
Arbonne-la-Forêt (77006);8,7
Argentières (77007);4,9
Armentières-en-Brie (77008);18,5
Arville (77009);6,6
Aubepierre-Ozouer-le-Repos (77010);5,7
Aufferville (77011);12,1
Augers-en-Brie (77012);13,1
Aulnoy (77013);5,8
Avon (77014);12,8
Baby (77015);6,3
Bagneaux-sur-Loing (77016);17,5
Bailly-Romainvilliers (77018);8,7
Balloy (77019);6,1
Bannost-Villegagnon (77020);6,7
Barbey (77021);7,6
Barbizon (77022);12,1
Barcy (77023);9,0
Bassevelle (77024);11,6
Bazoches-lès-Bray (77025);8,7
Beauchery-Saint-Martin (77026);14,3
Beaumont-du-Gâtinais (77027);14,7
Beautheil (77028);5,9
Beauvoir (77029);9,7
Bellot (77030);7,1
Bernay-Vilbert (77031);8,2
Beton-Bazoches (77032);9,3
Bezalles (77033);11,5
Blandy (77034);6,7
Blennes (77035);10,2
Boisdon (77036);8,7
Bois-le-Roi (77037);6,7
Boissettes (77038);8,4
Boissise-la-Bertrand (77039);7,8
Boissise-le-Roi (77040);8,3
Boissy-aux-Cailles (77041);6,3
Boissy-le-Châtel (77042);10,6
Boitron (77043);11,6
Bombon (77044);5,7
Bougligny (77045);9,0
Boulancourt (77046);10,1
Bouleurs (77047);8,8
Bourron-Marlotte (77048);10,1
Boutigny (77049);6,1
Bransles (77050);12,8
Bray-sur-Seine (77051);14,8
Bréau (77052);10,6
Brie-Comte-Robert (77053);9,3
Brosse-Montceaux (77054);14,6
Brou-sur-Chantereine (77055);10,2
Burcy (77056);6,9
Bussières (77057);15,0
Bussy-Saint-Georges (77058);9,8
Bussy-Saint-Martin (77059);11,2
Buthiers (77060);8,9
Cannes-Écluse (77061);8,1
Carnetin (77062);6,5
Celle-sur-Morin (77063);9,1
Cély (77065);6,5
Cerneux (77066);14,5
Cesson (77067);8,3
Cessoy-en-Montois (77068);7,4
Chailly-en-Bière (77069);10,6
Chailly-en-Brie (77070);10,3
Chaintreaux (77071);11,1
Chalautre-la-Grande (77072);10,5
Chalautre-la-Petite (77073);4,6
Chalifert (77075);11,7
Chalmaison (77076);10,6
Chambry (77077);7,0
Chamigny (77078);11,7
Champagne-sur-Seine (77079);15,8
Champcenest (77080);12,6
Champdeuil (77081);6,4
Champeaux (77082);8,0
Champs-sur-Marne (77083);13,2
Changis-sur-Marne (77084);8,9
Chanteloup-en-Brie (77085);8,5
Chapelle-Gauthier (77086);11,4
Chapelle-Iger (77087);9,4
Chapelle-la-Reine (77088);10,1
Chapelle-Rablais (77089);6,1
Chapelle-Saint-Sulpice (77090);9,8
Chapelles-Bourbon (77091);5,4
Chapelle-Moutils (77093);12,1
Charmentray (77094);7,0
Charny (77095);6,3
Chartrettes (77096);5,2
Chartronges (77097);4,7
Châteaubleau (77098);9,9
Château-Landon (77099);14,2
Châtelet-en-Brie (77100);9,8
Châtenay-sur-Seine (77101);12,3
Châtenoy (77102);4,9
Châtillon-la-Borde (77103);4,8
Châtres (77104);4,5
Chauffry (77106);9,5
Chaumes-en-Brie (77107);8,8
Chelles (77108);11,9
Chenoise (77109);11,5
Chenou (77110);8,5
Chessy (77111);8,5
Chevrainvilliers (77112);2,0
Chevru (77113);10,0
Chevry-Cossigny (77114);6,8
Chevry-en-Sereine (77115);7,4
Choisy-en-Brie (77116);8,2
Citry (77117);11,6
Claye-Souilly (77118);9,8
Clos-Fontaine (77119);8,8
Cocherel (77120);13,0
Collégien (77121);10,6
Combs-la-Ville (77122);10,9
Compans (77123);7,9
Conches-sur-Gondoire (77124);8,5
Condé-Sainte-Libiaire (77125);8,4
Congis-sur-Thérouanne (77126);10,7
Coubert (77127);6,2
Couilly-Pont-aux-Dames (77128);8,7
Coulombs-en-Valois (77129);13,2
Coulommes (77130);10,3
Coulommiers (77131);15,3
Coupvray (77132);6,8
Courcelles-en-Bassée (77133);4,3
Courchamp (77134);4,2
Courpalay (77135);7,6
Courquetaine (77136);7,5
Courtacon (77137);8,7
Courtomer (77138);8,5
Courtry (77139);8,7
Coutençon (77140);7,6
Coutevroult (77141);7,5
Crécy-la-Chapelle (77142);9,7
Crégy-lès-Meaux (77143);11,5
Crèvecœur-en-Brie (77144);5,4
Crisenoy (77145);6,0
Croissy-Beaubourg (77146);9,0
Croix-en-Brie (77147);7,6
Crouy-sur-Ourcq (77148);12,5
Cucharmoy (77149);9,9
Cuisy (77150);5,5
Dagny (77151);5,2
Dammarie-les-Lys (77152);17,2
Dammartin-en-Goële (77153);8,9
Dammartin-sur-Tigeaux (77154);5,6
Dampmart (77155);9,7
Darvault (77156);10,8
Dhuisy (77157);13,7
Diant (77158);7,0
Donnemarie-Dontilly (77159);12,9
Dormelles (77161);7,7
Doue (77162);10,9
Douy-la-Ramée (77163);8,7
Échouboulains (77164);7,1
Écrennes (77165);5,7
Égligny (77167);8,8
Égreville (77168);11,6
Émerainville (77169);11,7
Esbly (77171);7,8
Esmans (77172);11,2
Étrépilly (77173);7,8
Everly (77174);12,3
Évry-Grégy-sur-Yerre (77175);6,1
Faremoutiers (77176);9,5
Favières (77177);9,0
Faÿ-lès-Nemours (77178);7,2
Féricy (77179);6,6
Férolles-Attilly (77180);6,9
Ferrières-en-Brie (77181);6,8
Ferté-Gaucher (77182);21,4
Ferté-sous-Jouarre (77183);16,3
Flagy (77184);7,6
Fleury-en-Bière (77185);5,1
Fontainebleau (77186);11,1
Fontaine-Fourches (77187);17,0
Fontaine-le-Port (77188);6,9
Fontains (77190);6,7
Fontenailles (77191);8,4
Fontenay-Trésigny (77192);10,8
Forfry (77193);5,9
Forges (77194);12,9
Fouju (77195);7,4
Fresnes-sur-Marne (77196);5,2
Frétoy (77197);8,2
Fromont (77198);7,4
Fublaines (77199);7,9
Garentreville (77200);11,5
Gastins (77201);8,2
Genevraye (77202);7,3
Germigny-l'Évêque (77203);11,1
Germigny-sous-Coulombs (77204);14,3
Gesvres-le-Chapitre (77205);7,1
Giremoutiers (77206);10,9
Gironville (77207);10,8
Gouaix (77208);14,8
Gouvernes (77209);8,6
Grande-Paroisse (77210);11,2
Grandpuits-Bailly-Carrois (77211);11,0
Gravon (77212);7,5
Gressy (77214);6,7
Gretz-Armainvilliers (77215);11,9
Grez-sur-Loing (77216);8,6
Grisy-Suisnes (77217);6,8
Grisy-sur-Seine (77218);17,5
Guérard (77219);7,3
Guercheville (77220);5,9
Guermantes (77221);7,6
Guignes (77222);9,8
Gurcy-le-Châtel (77223);8,6
Hautefeuille (77224);1,8
Haute-Maison (77225);10,7
Héricy (77226);8,2
Hermé (77227);10,6
Hondevilliers (77228);11,8
Houssaye-en-Brie (77229);7,6
Ichy (77230);6,5
Isles-les-Meldeuses (77231);9,2
Isles-lès-Villenoy (77232);7,3
Iverny (77233);9,3
Jablines (77234);7,1
Jaignes (77235);6,4
Jaulnes (77236);5,4
Jossigny (77237);9,1
Jouarre (77238);11,2
Jouy-le-Châtel (77239);10,7
Jouy-sur-Morin (77240);12,2
Juilly (77241);8,3
Jutigny (77242);10,5
Lagny-sur-Marne (77243);12,3
Larchant (77244);7,4
Laval-en-Brie (77245);9,2
Léchelle (77246);12,3
Lescherolles (77247);10,7
Lesches (77248);6,3
Lésigny (77249);8,6
Leudon-en-Brie (77250);7,0
Lieusaint (77251);10,2
Limoges-Fourches (77252);8,9
Lissy (77253);2,9
Liverdy-en-Brie (77254);5,3
Livry-sur-Seine (77255);7,8
Lizines (77256);11,9
Lizy-sur-Ourcq (77257);17,8
Lognes (77258);15,2
Longperrier (77259);11,2
Longueville (77260);18,7
Lorrez-le-Bocage-Préaux (77261);15,4
Louan-Villegruis-Fontaine (77262);13,6
Luisetaines (77263);5,2
Lumigny-Nesles-Ormeaux (77264);7,9
Luzancy (77265);16,1
Machault (77266);7,2
Madeleine-sur-Loing (77267);7,1
Magny-le-Hongre (77268);7,8
Maincy (77269);11,0
Maisoncelles-en-Brie (77270);8,9
Maisoncelles-en-Gâtinais (77271);12,7
Maison-Rouge (77272);10,3
Marchémoret (77273);7,9
Marcilly (77274);7,7
Marêts (77275);10,9
Mareuil-lès-Meaux (77276);12,5
Marles-en-Brie (77277);8,7
Marolles-en-Brie (77278);9,9
Marolles-sur-Seine (77279);8,4
Mary-sur-Marne (77280);10,4
Mauperthuis (77281);7,7
Mauregard (77282);14,0
May-en-Multien (77283);12,1
Meaux (77284);15,8
Mée-sur-Seine (77285);19,5
Meigneux (77286);7,1
Meilleray (77287);16,6
Melun (77288);16,2
Melz-sur-Seine (77289);11,8
Méry-sur-Marne (77290);8,8
Mesnil-Amelot (77291);13,1
Messy (77292);4,5
Misy-sur-Yonne (77293);11,0
Mitry-Mory (77294);13,2
Moisenay (77295);4,0
Moissy-Cramayel (77296);13,1
Mondreville (77297);8,3
Mons-en-Montois (77298);11,1
Montceaux-lès-Meaux (77300);8,4
Montceaux-lès-Provins (77301);12,1
Montcourt-Fromonville (77302);8,9
Montdauphin (77303);17,1
Montenils (77304);15,8
Montereau-Fault-Yonne (77305);24,4
Montereau-sur-le-Jard (77306);6,2
Montévrain (77307);7,7
Montgé-en-Goële (77308);10,0
Monthyon (77309);9,6
Montigny-le-Guesdier (77310);12,8
Montigny-Lencoup (77311);8,2
Montigny-sur-Loing (77312);6,9
Montmachoux (77313);7,3
Montolivet (77314);5,3
Montry (77315);8,1
Moret Loing et Orvanne (77316);10,1
Mormant (77317);14,3
Mortcerf (77318);7,6
Mortery (77319);7,5
Mouroux (77320);9,4
Mousseaux-lès-Bray (77321);10,8
